conceptId,isExcluded,includeDescendants,includeMapped,conceptName,vocabularyId,standardConcept,invalidReason,conceptCode,conceptClassId,domainId,rc,dbc,drc,ddbc
3005146,FALSE,TRUE,FALSE,CACNA1S gene p.Arg1239His [Presence] in Blood or Tissue by Molecular genetics method,LOINC,S,V,21643-2,Lab Test,Measurement,0,0,0,0
3000223,FALSE,TRUE,FALSE,CACNA1S gene p.Arg528His [Presence] in Blood or Tissue by Molecular genetics method,LOINC,S,V,21644-0,Lab Test,Measurement,0,0,0,0
4257618,FALSE,TRUE,FALSE,Andersen Syndrome,NDFRT,N,V,N0000171668,Ind / CI,Drug,0,0,0,0
4104204,FALSE,TRUE,FALSE,Complete bilateral paralysis,SNOMED,S,V,29188005,Clinical Finding,Condition,200,2,34484161,22
40789537,FALSE,TRUE,FALSE,Myasthenia gravis treatment,LOINC,C,V,LP31479-6,LOINC Hierarchy,Measurement,0,0,0,0
3013246,FALSE,TRUE,FALSE,MT-ATP6 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,LOINC,S,V,21704-2,Lab Test,Measurement,0,0,0,0
4164770,FALSE,TRUE,FALSE,Guillain-Barré syndrome,SNOMED,S,V,40956001,Clinical Finding,Condition,1190028,19,1190528,19
4137853,FALSE,TRUE,FALSE,Contracture of gastrocnemius muscle due to paralysis,SNOMED,S,V,425491009,Clinical Finding,Condition,0,0,0,0
4045740,FALSE,TRUE,FALSE,Lacunar ataxic hemiparesis,SNOMED,S,V,230702001,Clinical Finding,Condition,0,0,0,0
4062583,FALSE,TRUE,FALSE,O/E - cranials 9+10 paralysis,SNOMED,S,V,164116002,Clinical Finding,Condition,0,0,0,0
378158,FALSE,TRUE,FALSE,Convergence palsy,SNOMED,S,V,194132009,Clinical Finding,Condition,0,0,0,0
4268601,FALSE,TRUE,FALSE,Curled toe paralysis,SNOMED,N,D,63230008,Clinical Finding,Condition,0,0,0,0
4234100,FALSE,TRUE,FALSE,Downer cow syndrome,SNOMED,N,D,90119005,Clinical Finding,Condition,0,0,0,0
4221837,FALSE,TRUE,FALSE,Klumpke-Déjerine paralysis,SNOMED,S,V,83886009,Clinical Finding,Condition,200,2,2493,13
1007700,FALSE,TRUE,FALSE,"Do you ever experience periods of muscle weakness, loss of muscle strength or limp muscles in any part of your body, such as the legs or face, when you hear or tell a joke",LOINC,N,V,LP120279-7,LOINC Component,Observation,0,0,0,0
3060936,FALSE,TRUE,FALSE,[D]Transient limb paralysis NOS,Nebraska Lexicon,N,D,158207000,Context-dependent,Observation,0,0,0,0
436011,FALSE,TRUE,FALSE,Bends,SNOMED,S,V,89684003,Clinical Finding,Condition,36313,18,36413,18
4346532,FALSE,TRUE,FALSE,Hypokalemic Periodic Paralysis,NDFRT,N,V,N0000004156,Ind / CI,Drug,0,0,0,0
196736,FALSE,TRUE,FALSE,Paralysis of bladder,SNOMED,S,V,398029001,Clinical Finding,Condition,46492,13,46492,13
4345243,FALSE,TRUE,FALSE,Tick Paralysis,NDFRT,N,V,N0000002952,Ind / CI,Drug,0,0,0,0
4063210,FALSE,TRUE,FALSE,O/E-cranial nerve 11 paralysis,SNOMED,S,V,164119009,Clinical Finding,Condition,0,0,0,0
3033373,FALSE,TRUE,FALSE,MT-ATP6 gene mutations tested for in Blood or Tissue by Molecular genetics method Nominal,LOINC,S,V,22069-9,Lab Test,Measurement,0,0,0,0
42528594,FALSE,TRUE,FALSE,Titin Ab [Presence] in Serum by Line blot,LOINC,S,V,82449-0,Lab Test,Measurement,0,0,0,0
4253192,FALSE,TRUE,FALSE,Secondary periodic paralysis,SNOMED,S,V,7409003,Clinical Finding,Condition,0,0,0,0
4275136,FALSE,TRUE,FALSE,Paralysis of diaphragm,SNOMED,S,V,64228003,Clinical Finding,Condition,0,0,0,0
4059614,FALSE,TRUE,FALSE,Bladder sphincter paralysis,SNOMED,S,V,197876006,Clinical Finding,Condition,0,0,0,0
4333912,FALSE,TRUE,FALSE,Abnormal gait due to muscle weakness,SNOMED,S,V,432559006,Clinical Finding,Observation,0,0,0,0
4216080,FALSE,TRUE,FALSE,Partial unilateral paralysis,SNOMED,S,V,71738007,Clinical Finding,Observation,0,0,0,0
4032800,FALSE,TRUE,FALSE,Saturday night paralysis,SNOMED,S,V,14786003,Clinical Finding,Condition,0,0,0,0
37040877,FALSE,TRUE,FALSE,Myasthenia gravis evaluation pediatric panel,LOINC,N,V,LP70983-9,LOINC Component,Observation,0,0,0,0
37062138,FALSE,TRUE,FALSE,Myasthenia gravis evaluation pediatric panel | Serum | Serology Panels,LOINC,C,V,LP404114-3,LOINC Hierarchy,Measurement,0,0,0,0
1007698,FALSE,TRUE,FALSE,"Do you ever experience periods of muscle weakness, loss of muscle strength or limp muscles in any part of your body, such as the legs or face, when you laugh",LOINC,N,V,LP120277-1,LOINC Component,Observation,0,0,0,0
21495004,FALSE,TRUE,FALSE,Paralysis [Type],LOINC,S,V,80326-2,Clinical Observation,Observation,0,0,0,0
4196572,FALSE,TRUE,FALSE,Inferior oblique underaction,SNOMED,S,V,313163008,Clinical Finding,Condition,0,0,0,0
40768315,FALSE,TRUE,FALSE,"Do you ever experience periods of muscle weakness, loss of muscle strength or limp muscles in any part of your body, such as the legs or face, when you are angry [PhenX]",LOINC,S,V,65623-1,Clinical Observation,Observation,0,0,0,0
4171937,FALSE,TRUE,FALSE,Paralysis absent,SNOMED,S,V,274811005,Clinical Finding,Condition,0,0,0,0
2111115,FALSE,TRUE,FALSE,Repair of blepharoptosis; superior rectus technique with fascial sling (includes obtaining fascia),CPT4,S,V,67906,CPT4,Procedure,0,0,0,0
42529128,FALSE,TRUE,FALSE,Titin IgG Ab [Presence] in Serum or Plasma by Line blot,LOINC,S,V,83000-0,Lab Test,Measurement,0,0,0,0
4319469,FALSE,TRUE,FALSE,Congenital flaccid paralysis,SNOMED,S,V,95652003,Clinical Finding,Condition,0,0,0,0
45887745,FALSE,TRUE,FALSE,Graft for facial nerve paralysis,CPT4,C,V,1003520,CPT4 Hierarchy,Procedure,0,0,0,0
3064050,FALSE,TRUE,FALSE,Paralysis of vocal cords &/or larynx,Nebraska Lexicon,N,D,195840006,Clinical Finding,Condition,0,0,0,0
43530667,FALSE,TRUE,FALSE,History of hemorrhagic stroke with hemiparesis,SNOMED,S,V,140701000119108,Context-dependent,Observation,0,0,0,0
4318979,FALSE,TRUE,FALSE,Unilateral facial paresis,SNOMED,S,V,95667004,Clinical Finding,Observation,0,0,0,0
4217869,FALSE,TRUE,FALSE,Muscle paralysis,SNOMED,S,V,416660001,Procedure,Procedure,0,0,0,0
42487983,FALSE,TRUE,FALSE,Paresis of accommodation,KCD7,N,V,H52.51,KCD7 code,Condition,0,0,0,0
4079019,FALSE,TRUE,FALSE,Phrenic nerve lesion,SNOMED,S,V,277321001,Clinical Finding,Condition,1279,3,3800,14
4347829,FALSE,TRUE,FALSE,Respiratory Paralysis,NDFRT,N,V,N0000002600,Ind / CI,Drug,0,0,0,0
40768433,FALSE,TRUE,FALSE,While you were having paralysis or weakness did any of these things occur [PhenX],LOINC,S,V,65744-5,Clinical Observation,Observation,0,0,0,0
4335605,FALSE,TRUE,FALSE,Pharmacological paralysis of accommodation,SNOMED,S,V,232145009,Clinical Finding,Condition,0,0,0,0
45881731,FALSE,TRUE,FALSE,Paralysis or weakness,LOINC,S,V,LA16359-4,Answer,Meas Value,0,0,0,0
4274316,FALSE,TRUE,FALSE,Fugu poisoning,SNOMED,S,V,64815002,Clinical Finding,Condition,0,0,0,0
45879989,FALSE,TRUE,FALSE,"Forced deviation, or total gaze paresis not overcome by the oculocephalic maneuver",LOINC,S,V,LA18447-5,Answer,Meas Value,0,0,0,0
79908,FALSE,TRUE,FALSE,Muscle weakness,SNOMED,S,V,26544005,Clinical Finding,Condition,242366852,17,249209818,17
4350260,FALSE,TRUE,FALSE,Bell Palsy,NDFRT,N,V,N0000004113,Ind / CI,Drug,0,0,0,0
3185422,FALSE,TRUE,FALSE,Paralysis of nondominant side complicating stroke,Nebraska Lexicon,S,V,5550001000004102,Clinical Finding,Condition,0,0,0,0
381270,FALSE,TRUE,FALSE,Parkinson's disease,SNOMED,S,V,49049000,Clinical Finding,Condition,58785465,21,58787052,21
4157607,FALSE,TRUE,FALSE,Paralysis due to lesion of spinal cord,SNOMED,S,V,372310001,Clinical Finding,Condition,200,2,3828982,14
45765471,FALSE,TRUE,FALSE,Fatty acid hydroxylase associated neurodegeneration,SNOMED,S,V,702419001,Clinical Finding,Condition,0,0,0,0
